domain	year	live	used_in_csv	first_capture
dn.se	2025	yes	yes	20250101041935 http://www.dn.se/ 301
dn.se	2026	yes	yes	20260101004828 https://www.dn.se/ 200
etc.se	2022	yes	yes	20220101002111 http://www.etc.se/ 301
etc.se	2023	yes	yes	20230101001519 http://www.etc.se/ 301
expressen.se	2016	yes	yes	20160101002018 http://www.expressen.se/ 200
expressen.se	2017	yes	yes	20170101002500 http://www.expressen.se/ 200
expressen.se	2018	yes	yes	20180101004707 http://www.expressen.se/ -
expressen.se	2019	yes	yes	20190101031904 http://www.expressen.se/ -
expressen.se	2020	yes	yes	20200101000039 http://www.expressen.se/ -
expressen.se	2021	yes	yes	20210101020004 https://www.expressen.se/ 200
expressen.se	2022	yes	yes	20220101002518 http://www.expressen.se/ 200
expressen.se	2023	yes	yes	20230101003838 http://www.expressen.se/ 301
expressen.se	2024	yes	yes	20240101000215 https://www.expressen.se/ 200
expressen.se	2025	yes	yes	20250101042029 http://www.expressen.se/ 301
expressen.se	2026	yes	yes	20260101004855 https://www.expressen.se/ 200
friatider.se	2021	yes	yes	20210101014527 https://www.friatider.se/ 200
friatider.se	2022	yes	yes	20220101002120 http://www.friatider.se/ 200
friatider.se	2023	yes	yes	20230101000912 http://www.friatider.se/ 301
gp.se	2016	yes	yes	20160101002041 http://www.gp.se/ 200
gp.se	2017	yes	yes	20170101002523 http://www.gp.se/ 200
gp.se	2018	yes	yes	20180101004724 http://www.gp.se/ 200
gp.se	2019	yes	yes	20190101032235 http://www.gp.se/ 200
gp.se	2020	yes	yes	20200101000118 http://www.gp.se/ -
gp.se	2021	yes	yes	20210101023150 http://www.gp.se/ 301
gp.se	2022	yes	yes	20220101002752 http://www.gp.se/ 301
gp.se	2023	yes	yes	20230101002700 http://www.gp.se/ 301
gp.se	2024	yes	yes	20240101003052 http://www.gp.se/ 301
gp.se	2025	yes	yes	20250101094629 https://www.gp.se/ 200
gp.se	2026	yes	yes	20260101005012 http://www.gp.se/ 301
hd.se	2021	yes	yes	20210101015013 https://www.hd.se/ 200
huffingtonpost.com	2017	yes	yes	20170101011858 http://www.huffingtonpost.com/ 200
huffpost.com	2016	yes	no	20160101061738 http://huffpost.com/ -
huffpost.com	2017	yes	no	20170101201430 http://huffpost.com/ -
huffpost.com	2018	yes	no	20180101143625 http://subscribetohp@huffpost.com/ -
huffpost.com	2019	yes	no	20190101061425 http://www.huffpost.com/ -
huffpost.com	2020	yes	no	20200101004843 https://www.huffpost.com/ 200
huffpost.com	2021	yes	no	20210101005827 https://www.huffpost.com/ 200
huffpost.com	2022	yes	no	20220101000950 https://www.huffpost.com/ 200
huffpost.com	2023	yes	no	20230101000505 https://www.huffpost.com/ 200
huffpost.com	2024	yes	no	20240101000413 https://www.huffpost.com/ 200
huffpost.com	2025	yes	no	20250101002327 https://www.huffpost.com/ 200
huffpost.com	2026	yes	no	20260101000540 https://www.huffpost.com/ 200
metro.se	2016	yes	yes	20160101002048 http://www.metro.se/ 200
metro.se	2017	yes	yes	20170101002528 http://www.metro.se/ 200
metro.se	2018	yes	yes	20180101004730 http://www.metro.se/ -
metro.se	2019	yes	yes	20190101072837 http://www.metro.se/ -
metro.se	2020	yes	yes	20200101000126 http://www.metro.se/ -
metro.se	2021	yes	no	20210101023245 http://www.metro.se/ 302
metro.se	2022	yes	no	20220101003720 http://www.metro.se/ 302
metro.se	2023	yes	no	20230101000025 https://www.metro.se/ 302
metro.se	2024	yes	no	20240101000032 http://www.metro.se/ 302
metro.se	2025	yes	no	20250101065410 http://metro.se/ 302
metro.se	2026	yes	no	20260101004911 https://www.metro.se/ 302
msn.com	2016	yes	yes	20160101002658 http://www.msn.com/ 200
msn.com	2018	yes	yes	20180101000004 http://www.msn.com/ 200
msn.com	2020	yes	yes	20200101001030 http://www.msn.com/ 200
nyheter24.se	2016	yes	yes	20160110220721 http://nyheter24.se/ 200
nyheter24.se	2017	yes	yes	20170105072751 http://nyheter24.se/ 200
nyheter24.se	2018	yes	yes	20180103080855 http://www.nyheter24.se:80/ 301
nyheter24.se	2019	yes	yes	20190102072026 https://nyheter24.se/ 200
nyheter24.se	2020	yes	yes	20200101003358 https://nyheter24.se/ 200
nyheter24.se	2021	yes	yes	20210101023016 http://www.nyheter24.se/ -
nyheter24.se	2022	yes	yes	20220101031414 http://www.nyheter24.se/ -
nyheter24.se	2023	yes	yes	20230101000107 https://nyheter24.se/ 200
nyheter24.se	2024	yes	yes	20240101003317 https://nyheter24.se/ 200
nyheter24.se	2025	yes	yes	20250103055043 https://nyheter24.se/ 200
nyheter24.se	2026	yes	yes	20260101004941 https://nyheter24.se/ 200
nyheteridag.se	2021	yes	yes	20210101023018 http://www.nyheteridag.se/ 301
nyheteridag.se	2022	yes	yes	20220101032009 http://www.nyheteridag.se/ 301
nyheteridag.se	2023	yes	yes	20230101001605 https://nyheteridag.se/ 200
nyheteridag.se	2024	yes	yes	20240101004028 https://nyheteridag.se/ 200
nyheteridag.se	2025	yes	yes	20250102233653 https://nyheteridag.se/ 200
nyheteridag.se	2026	yes	yes	20260101004830 https://nyheteridag.se/ 200
nyheterna.se	2016	yes	no	20160106175333 http://www.nyheterna.se:80/ 301
nyheterna.se	2017	yes	no	20170516100825 http://nyheterna.se/ 301
nyheterna.se	2018	yes	no	20180316081020 http://nyheterna.se/ -
nyheterna.se	2019	yes	no	20190131190835 http://www.nyheterna.se:80/ 301
nyheterna.se	2020	yes	no	20200110122246 http://www.nyheterna.se:80/ 301
nyheterna.se	2021	yes	no	20210306015046 http://www.nyheterna.se/ 301
nyheterna.se	2022	yes	no	20220108032645 http://nyheterna.se/ -
nyheterna.se	2023	yes	no	20230402044104 http://nyheterna.se/ -
nyheterna.se	2024	yes	no	20240416104823 http://nyheterna.se/ 301
nyheterna.se	2025	yes	no	20250819110522 http://www.nyheterna.se/1.1170700/2009/08/31/friad_fran_valdtakt_pa_sovande_pojke 301
nyheterna.se	2026	yes	no	20260421232745 http://www.nyheterna.se/1.2170527/2011/06/10/sverige_utvisar_kristna_till_irak 301
samhallsnytt.se	2016	NO	no	
samhallsnytt.se	2017	yes	no	20170919052527 http://samhallsnytt.se:80/ 200
samhallsnytt.se	2018	yes	no	20180203144419 http://samhallsnytt.se:80/ 200
samhallsnytt.se	2019	yes	no	20190106174855 http://samhallsnytt.se:80/ 200
samhallsnytt.se	2020	yes	no	20201216121744 http://samhallsnytt.se/ 200
samhallsnytt.se	2021	yes	no	20211216174830 http://samhallsnytt.se/ 200
samhallsnytt.se	2022	yes	no	20220406191455 http://samhallsnytt.se/ 301
samhallsnytt.se	2023	NO	no	
samhallsnytt.se	2024	yes	no	20240926105747 http://samhallsnytt.se/ 200
samhallsnytt.se	2025	NO	no	
samhallsnytt.se	2026	yes	no	20260113054816 http://samhallsnytt.se/ 200
samnytt.se	2021	yes	yes	20210101034841 http://samnytt.se/ 301
samnytt.se	2022	yes	yes	20220101112026 http://samnytt.se/ 301
samnytt.se	2023	yes	yes	20230101011025 http://samnytt.se/ 301
samnytt.se	2026	yes	yes	20260101005358 https://samnytt.se/ 200
sr.se	2016	yes	no	20160102022934 http://sr.se/ -
sr.se	2017	yes	no	20170106144602 http://sr.se -
sr.se	2018	yes	no	20180106112207 http://SR.se -
sr.se	2019	yes	no	20190103165333 http://www.sr.se/ -
sr.se	2020	yes	no	20200105193258 http://sr.se/ 301
sr.se	2021	yes	no	20210106035845 http://www.sr.se/ 301
sr.se	2022	yes	no	20220104180512 http://www.sr.se/ -
sr.se	2023	yes	no	20230101022610 http://sr.se/ -
sr.se	2024	yes	no	20240101000406 http://www.sr.se/ 301
sr.se	2025	yes	no	20250101042326 http://www.sr.se/ 301
sr.se	2026	yes	no	20260128182218 http://sr.se/ 301
svd.se	2016	yes	yes	20160101001955 http://www.svd.se/ 200
svd.se	2017	yes	yes	20170101002443 http://www.svd.se/ 200
svd.se	2018	yes	yes	20180101004657 http://www.svd.se/ -
svd.se	2019	yes	yes	20190101023442 http://www.svd.se/ -
svd.se	2020	yes	yes	20200101000004 http://www.svd.se/ -
svd.se	2021	yes	yes	20210101015008 https://www.svd.se/ 200
svd.se	2022	yes	yes	20220101005005 http://www.svd.se/ 200
svd.se	2023	yes	yes	20230101000057 https://www.svd.se/ 200
svd.se	2024	yes	yes	20240101000148 https://www.svd.se/ 200
svd.se	2025	yes	yes	20250101042223 http://www.svd.se/ 301
svd.se	2026	yes	yes	20260101004952 https://www.svd.se/ 200
sverigesradio.se	2016	yes	yes	20160101001939 http://sverigesradio.se/ 200
sverigesradio.se	2017	yes	yes	20170101002425 http://sverigesradio.se/ 200
sverigesradio.se	2018	yes	yes	20180101004633 http://sverigesradio.se/ 200
sverigesradio.se	2019	yes	yes	20190101072739 http://sverigesradio.se/ -
sverigesradio.se	2020	yes	yes	20200101003806 http://sverigesradio.se/ -
sverigesradio.se	2021	yes	yes	20210101023154 http://www.sverigesradio.se/ 301
sverigesradio.se	2022	yes	yes	20220101001017 http://sverigesradio.se/ 200
sverigesradio.se	2023	yes	yes	20230101000755 http://sverigesradio.se/ 301
sverigesradio.se	2024	yes	yes	20240101005328 http://sverigesradio.se/ 301
sverigesradio.se	2025	yes	yes	20250101042254 https://sverigesradio.se/ 200
sverigesradio.se	2026	yes	yes	20260101000049 https://www.sverigesradio.se/ 200
svt.se	2016	yes	yes	20160101001920 http://www.svt.se/ 200
svt.se	2017	yes	yes	20170101002405 http://www.svt.se/ 200
svt.se	2018	yes	yes	20180101004627 http://www.svt.se/ -
svt.se	2019	yes	yes	20190101023407 http://svt.se/ 301
svt.se	2020	yes	yes	20200101001213 https://www.svt.se/ 200
svt.se	2021	yes	yes	20210101020004 https://www.svt.se/ 200
svt.se	2022	yes	yes	20220101004231 https://www.svt.se/ 200
svt.se	2023	yes	yes	20230101000010 https://www.svt.se/ 200
svt.se	2024	yes	yes	20240101002133 https://www.svt.se/ 200
svt.se	2025	yes	yes	20250101023924 https://www.svt.se/ 200
svt.se	2026	yes	yes	20260101004927 https://www.svt.se/ 200
sydsvenskan.se	2016	yes	yes	20160101002026 http://www.sydsvenskan.se/ 200
sydsvenskan.se	2017	yes	yes	20170101002509 http://www.sydsvenskan.se/ 200
sydsvenskan.se	2018	yes	yes	20180101004713 http://www.sydsvenskan.se/ -
sydsvenskan.se	2019	yes	yes	20190101023449 http://www.sydsvenskan.se/ -
sydsvenskan.se	2020	yes	yes	20200101000054 http://www.sydsvenskan.se/ -
sydsvenskan.se	2021	yes	yes	20210101022948 http://www.sydsvenskan.se/ -
sydsvenskan.se	2022	yes	yes	20220101001928 https://www.sydsvenskan.se/ 200
sydsvenskan.se	2023	yes	yes	20230101002204 https://www.sydsvenskan.se/ 200
sydsvenskan.se	2024	yes	yes	20240101002647 https://www.sydsvenskan.se/ 200
sydsvenskan.se	2025	yes	yes	20250101003611 https://www.sydsvenskan.se/ 200
sydsvenskan.se	2026	yes	yes	20260101004933 https://www.sydsvenskan.se/ 200
tv4.se	2016	yes	yes	20160101045907 http://tv4.se/ 301
tv4.se	2017	yes	yes	20170108054236 http://www.tv4.se/ 200
tv4.se	2018	yes	yes	20180104033420 http://www.tv4.se:80/ 200
tv4.se	2019	yes	yes	20190104052200 http://www.tv4.se/ 301
tv4.se	2020	yes	yes	20200101022827 http://www.tv4.se/ 301
tv4.se	2021	yes	yes	20210101022845 http://www.tv4.se/ -
tv4.se	2022	yes	yes	20220101005321 http://www.tv4.se/ 200
tv4.se	2023	yes	yes	20230101003623 https://www.tv4.se/ 200
tv4.se	2024	yes	yes	20240101005433 http://www.tv4.se/ 301
tv4.se	2025	yes	yes	20250101152504 https://www.tv4.se/ 200
tv4.se	2026	yes	yes	20260101004808 https://www.tv4.se/ 200
unt.se	2016	yes	yes	20160101004311 http://www.unt.se/ -
unt.se	2017	yes	yes	20170101021420 http://www.unt.se/ 302
unt.se	2018	yes	yes	20180101014920 http://www.unt.se/ -
unt.se	2020	yes	yes	20200101022812 http://www.unt.se/ 302
unt.se	2021	yes	yes	20210101023006 http://www.unt.se/ 302
